,SAP,iteration,questions_rank,similarity_avg_changes,time,Anon Student Id,unit,user_questionaire
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,5ZR29q8c56,Unit ES_04,5ZR29q8c56Unit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",,0.002,5ZR29q8c56,Unit ES_04,5ZR29q8c56Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '-5/3 = y+8/3', 1: 'FinalAnswer'}}",0,0,HujcxU5LVb,Unit ES_04,HujcxU5LVbUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,HujcxU5LVb,Unit ES_04,HujcxU5LVbUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '-5/3 = y+8/3', 1: 'FinalAnswer'}}",,0.001,HujcxU5LVb,Unit ES_04,HujcxU5LVbUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant termsR2', 1: 'd/q = q*n/q'}}",0,0,HvghFVBS5v,Unit ES_04,HvghFVBS5vUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'd/q = q*n/q'}}",0.323038549,0,HvghFVBS5v,Unit ES_04,HvghFVBS5vUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'constant termsR2', 1: 'd/q = q*n/q'}}",,0.001,HvghFVBS5v,Unit ES_04,HvghFVBS5vUnit ES_04
0,0.666666667,0,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'constant terms1R1', 1: '9 = 5x+4*-6x+4*-4', 2: 'xR2'}}",0,0,z1iLCTB32T,Unit ES_04,z1iLCTB32TUnit ES_04
1,0.75,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '9 = 5x+4*-6x+4*-4', 1: 'xR2'}}",0.366666667,0,z1iLCTB32T,Unit ES_04,z1iLCTB32TUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'xR2'}}",0,0,z1iLCTB32T,Unit ES_04,z1iLCTB32TUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'constant terms1R1', 1: '9 = 5x+4*-6x+4*-4', 2: 'xR2'}}",,0.002,z1iLCTB32T,Unit ES_04,z1iLCTB32TUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: '-47.58(x+31.66) = 5.95'}}",0,0,5AhC6ORULJ,Unit ES_04,5AhC6ORULJUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '-47.58(x+31.66) = 5.95'}}",0,0,5AhC6ORULJ,Unit ES_04,5AhC6ORULJUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: '-47.58(x+31.66) = 5.95'}}",,0.001,5AhC6ORULJ,Unit ES_04,5AhC6ORULJUnit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '6-756 = 129y', 1: 'constant terms1R1'}}",0,0,78t79xOebG,Unit ES_04,78t79xOebGUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'constant terms1R1'}}",0,0,78t79xOebG,Unit ES_04,78t79xOebGUnit ES_04
2,0.75,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '6-756 = 129y', 1: 'constant terms1R1'}}",,0.001,78t79xOebG,Unit ES_04,78t79xOebGUnit ES_04
0,1,0,"{'Difficulty': {0: 1.0, 1: 0.0, 2: -1.0}, 'Step Name': {0: 'y1R1', 1: 'row1-D-m', 2: 'FinalAnswer'}}",0,0.001,Gwk4z777oU,Unit ES_04,Gwk4z777oUUnit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'y1R1', 1: 'row1-D-m'}}",0.35,0,Gwk4z777oU,Unit ES_04,Gwk4z777oUUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'row1-D-m'}}",0,0,Gwk4z777oU,Unit ES_04,Gwk4z777oUUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'FinalAnswer', 1: 'y1R1', 2: 'row1-D-m'}}",,0.006,Gwk4z777oU,Unit ES_04,Gwk4z777oUUnit ES_04
0,0.777777778,0,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'constant terms1R1', 2: '-26y-21+21 = -9+21'}}",0,0,yuB6nxh3FX,Unit ES_04,yuB6nxh3FXUnit ES_04
1,0.75,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant terms1R1', 1: '-26y-21+21 = -9+21'}}",0.555555556,0,yuB6nxh3FX,Unit ES_04,yuB6nxh3FXUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: '-26y-21+21 = -9+21'}}",0,0,yuB6nxh3FX,Unit ES_04,yuB6nxh3FXUnit ES_04
3,0.833333333,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'FinalAnswer', 1: 'constant terms1R1', 2: '-26y-21+21 = -9+21'}}",,0.002,yuB6nxh3FX,Unit ES_04,yuB6nxh3FXUnit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",0,0,bt0ZuHaCGY,Unit ES_04,bt0ZuHaCGYUnit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",,0,bt0ZuHaCGY,Unit ES_04,bt0ZuHaCGYUnit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'y*n = r+f-y*b-7', 1: 'yR2'}}",0,0,Qwq8d0du28,Unit ES_04,Qwq8d0du28Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'yR2'}}",0,0,Qwq8d0du28,Unit ES_04,Qwq8d0du28Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'y*n = r+f-y*b-7', 1: 'yR2'}}",,0.001,Qwq8d0du28,Unit ES_04,Qwq8d0du28Unit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'row3-N-c', 1: 'FinalAnswer'}}",0,0,Dmq6441349,Unit ES_04,Dmq6441349Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,Dmq6441349,Unit ES_04,Dmq6441349Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'row3-N-c', 1: 'FinalAnswer'}}",,0.003,Dmq6441349,Unit ES_04,Dmq6441349Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '-8y+35 = -48*25', 1: 'FinalAnswer'}}",0,0,6Ax4SKe470,Unit ES_04,6Ax4SKe470Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,6Ax4SKe470,Unit ES_04,6Ax4SKe470Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '-8y+35 = -48*25', 1: 'FinalAnswer'}}",,0.004,6Ax4SKe470,Unit ES_04,6Ax4SKe470Unit ES_04
0,1,0,"{'Difficulty': {0: 1.0, 1: 0.0, 2: -1.0, 3: 0.0}, 'Step Name': {0: 'r1R1', 1: '7+z*(c+q)-7 = s+g-7', 2: 'FinalAnswer', 3: 'xR2'}}",0,0.001,y5009rpZ12,Unit ES_04,y5009rpZ12Unit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0, 2: 0}, 'Step Name': {0: 'r1R1', 1: '7+z*(c+q)-7 = s+g-7', 2: 'xR2'}}",0.753373016,0,y5009rpZ12,Unit ES_04,y5009rpZ12Unit ES_04
2,1,2,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '7+z*(c+q)-7 = s+g-7', 1: 'xR2'}}",0.010416667,0,y5009rpZ12,Unit ES_04,y5009rpZ12Unit ES_04
3,1,3,"{'Difficulty': {0: 0}, 'Step Name': {0: 'xR2'}}",0,0,y5009rpZ12,Unit ES_04,y5009rpZ12Unit ES_04
4,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3}, 'Step Name': {0: 'FinalAnswer', 1: 'r1R1', 2: '7+z*(c+q)-7 = s+g-7', 3: 'xR2'}}",,0.008,y5009rpZ12,Unit ES_04,y5009rpZ12Unit ES_04
0,0.75,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'constant terms1R1', 1: '1114.84 = -73.2y'}}",0,0,68gXsA3M68,Unit ES_04,68gXsA3M68Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '1114.84 = -73.2y'}}",0,0,68gXsA3M68,Unit ES_04,68gXsA3M68Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'constant terms1R1', 1: '1114.84 = -73.2y'}}",,0.001,68gXsA3M68,Unit ES_04,68gXsA3M68Unit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",0,0,45TTYcotWk,Unit ES_04,45TTYcotWkUnit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",,0,45TTYcotWk,Unit ES_04,45TTYcotWkUnit ES_04
0,1,0,"{'Difficulty': {0: -1.0, 1: 0.0, 2: 1.0}, 'Step Name': {0: 'FinalAnswer', 1: 'q*c*r = d*x-q*c*v', 2: 'y1R1'}}",0,0.001,6jCygPdswz,Unit ES_04,6jCygPdswzUnit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'q*c*r = d*x-q*c*v', 1: 'y1R1'}}",0.981111111,0,6jCygPdswz,Unit ES_04,6jCygPdswzUnit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'y1R1'}}",0,0,6jCygPdswz,Unit ES_04,6jCygPdswzUnit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'FinalAnswer', 1: 'q*c*r = d*x-q*c*v', 2: 'y1R1'}}",,0.006,6jCygPdswz,Unit ES_04,6jCygPdswzUnit ES_04
0,0.6875,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'constant terms1R1', 1: '(y-3)/m = x-7', 2: 'FinalAnswer', 3: 'y1R1'}}",0,0.001,X5eS5kvC8h,Unit ES_04,X5eS5kvC8hUnit ES_04
1,0.777777778,1,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: '(y-3)/m = x-7', 1: 'FinalAnswer', 2: 'y1R1'}}",0.236111111,0.001,X5eS5kvC8h,Unit ES_04,X5eS5kvC8hUnit ES_04
2,1,2,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'FinalAnswer', 1: 'y1R1'}}",0,0,X5eS5kvC8h,Unit ES_04,X5eS5kvC8hUnit ES_04
3,1,3,"{'Difficulty': {0: 0}, 'Step Name': {0: 'y1R1'}}",0.944444444,0,X5eS5kvC8h,Unit ES_04,X5eS5kvC8hUnit ES_04
4,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3}, 'Step Name': {0: 'constant terms1R1', 1: '(y-3)/m = x-7', 2: 'FinalAnswer', 3: 'y1R1'}}",,0.006,X5eS5kvC8h,Unit ES_04,X5eS5kvC8hUnit ES_04
0,1,0,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'y1R1', 1: 'FinalAnswer', 2: '-n/z = 6'}}",0,0.001,LnVZmUuwc8,Unit ES_04,LnVZmUuwc8Unit ES_04
1,1,1,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: '-n/z = 6'}}",0.519444444,0,LnVZmUuwc8,Unit ES_04,LnVZmUuwc8Unit ES_04
2,1,2,"{'Difficulty': {0: 0}, 'Step Name': {0: '-n/z = 6'}}",5.84285261,0,LnVZmUuwc8,Unit ES_04,LnVZmUuwc8Unit ES_04
3,1,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'y1R1', 1: 'FinalAnswer', 2: '-n/z = 6'}}",,0.006,LnVZmUuwc8,Unit ES_04,LnVZmUuwc8Unit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0,0,0w8srd7i18,Unit ES_04,0w8srd7i18Unit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",,0.001,0w8srd7i18,Unit ES_04,0w8srd7i18Unit ES_04
0,1,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",0,0,5yasLi1Avt,Unit ES_04,5yasLi1AvtUnit ES_04
1,1,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'b+r*(x+y) = v-s'}}",,0.001,5yasLi1Avt,Unit ES_04,5yasLi1AvtUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'y1R1', 1: 'c+q = (s+g-7)/z'}}",0,0,MPqJdqnPtc,Unit ES_04,MPqJdqnPtcUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'c+q = (s+g-7)/z'}}",0.466666667,0,MPqJdqnPtc,Unit ES_04,MPqJdqnPtcUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'y1R1', 1: 'c+q = (s+g-7)/z'}}",,0.001,MPqJdqnPtc,Unit ES_04,MPqJdqnPtcUnit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: '-3/b*b = w*b'}}",0,0,YNGlv7F45C,Unit ES_04,YNGlv7F45CUnit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '-3/b*b = w*b'}}",7.128726551,0,YNGlv7F45C,Unit ES_04,YNGlv7F45CUnit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: '-3/b*b = w*b'}}",,0.004,YNGlv7F45C,Unit ES_04,YNGlv7F45CUnit ES_04
0,0.75,0,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: '(y-3) = m*(x-7)', 1: 'FinalAnswer'}}",0,0,9EAa0nJjb1,Unit ES_04,9EAa0nJjb1Unit ES_04
1,1,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.242460317,0,9EAa0nJjb1,Unit ES_04,9EAa0nJjb1Unit ES_04
2,1,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: '(y-3) = m*(x-7)', 1: 'FinalAnswer'}}",,0.005,9EAa0nJjb1,Unit ES_04,9EAa0nJjb1Unit ES_04
0,1,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: '6R = 90-g', 1: 'FinalAnswer'}}",0,0,34f4oB5Cod,Unit ES_04,34f4oB5CodUnit ES_04
