,SAP,iteration,questions_rank,similarity_avg_changes,time,Anon Student Id,unit
3,1.0,3,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}, 'Step Name': {0: 'R3C1', 1: 'ValidEquations', 2: 'R2C1', 3: 'R1C1'}}",1.02643556345,0.001,c1zVCHxCEz,Unit CTA1_10
4,1.0,4,"{'Difficulty': {0: 0.0, 1: 0.0, 2: 0.0}, 'Step Name': {0: 'ValidEquations', 1: 'R2C1', 2: 'R1C1'}}",0.323449532229,0.001,c1zVCHxCEz,Unit CTA1_10
5,1.0,5,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R2C1', 1: 'R1C1'}}",0.319702181328,0.0,c1zVCHxCEz,Unit CTA1_10
6,1.0,6,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R1C1'}}",0.121540670061,0.0,c1zVCHxCEz,Unit CTA1_10
7,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6}, 'Step Name': {0: 'R3C2', 1: 'R2C2', 2: 'R4C1', 3: 'R3C1', 4: 'ValidEquations', 5: 'R2C1', 6: 'R1C1'}}",,0.017,c1zVCHxCEz,Unit CTA1_10
0,0.75,0,"{'Difficulty': {0: 1.0, 1: -1.0}, 'Step Name': {0: 'R3C2', 1: 'R4C2'}}",0.0,0.001,Uml72Q91Du,Unit CTA1_10
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R3C2'}}",0.416666666667,0.0,Uml72Q91Du,Unit CTA1_10
2,0.75,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'R4C2', 1: 'R3C2'}}",,0.002,Uml72Q91Du,Unit CTA1_10
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.0,0.0,1bJbgQ32E3,Unit ES_07
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",,0.004,1bJbgQ32E3,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'a*h = q*k+7g'}}",0.0,0.0,LnVZmUuwc8,Unit ES_07
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'a*h = q*k+7g'}}",4.84585525586,0.0,LnVZmUuwc8,Unit ES_07
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'a*h = q*k+7g'}}",,0.004,LnVZmUuwc8,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: '(v*k*h+v*h)/h = w'}}",0.0,0.0,YNGlv7F45C,Unit ES_07
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '(v*k*h+v*h)/h = w'}}",6.58705988456,0.0,YNGlv7F45C,Unit ES_07
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: '(v*k*h+v*h)/h = w'}}",,0.003,YNGlv7F45C,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: '6u-r*u-6u = x*s+r*w-6u'}}",0.0,0.0,6jCygPdswz,Unit ES_07
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: '6u-r*u-6u = x*s+r*w-6u'}}",0.929444444444,0.0,6jCygPdswz,Unit ES_07
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: '6u-r*u-6u = x*s+r*w-6u'}}",,0.005,6jCygPdswz,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'di-expr'}}",0.0,0.0,Qwq8d0du28,Unit ES_07
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'di-expr'}}",,0.001,Qwq8d0du28,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'c*h1R1', 1: 'FinalAnswer'}}",0.0,0.0,XL0eQIoG72,Unit ES_07
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'FinalAnswer'}}",0.0,0.0,XL0eQIoG72,Unit ES_07
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'c*h1R1', 1: 'FinalAnswer'}}",,0.005,XL0eQIoG72,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'y*j-j*c = g*x-z*u'}}",0.0,0.0,QS4cvQ8w0o,Unit ES_07
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'y*j-j*c = g*x-z*u'}}",,0.0,QS4cvQ8w0o,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'FinalAnswer', 1: 'z*8z+z*-3 = q+s'}}",0.0,0.0,XJyS25Yg27,Unit ES_07
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'z*8z+z*-3 = q+s'}}",0.0,0.0,XJyS25Yg27,Unit ES_07
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'FinalAnswer', 1: 'z*8z+z*-3 = q+s'}}",,0.002,XJyS25Yg27,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'a*h-7g+7g = q*k+7g'}}",0.0,0.0,0GlR30c2Mt,Unit ES_07
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'a*h-7g+7g = q*k+7g'}}",,0.0,0GlR30c2Mt,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 0}, 'Step Name': {0: 'di-expr'}}",0.0,0.0,t4K5z0e2NZ,Unit ES_07
1,1.0,full,"{'Difficulty': {0: 0}, 'Step Name': {0: 'di-expr'}}",,0.001,t4K5z0e2NZ,Unit ES_07
0,1.0,0,"{'Difficulty': {0: 1.0, 1: 0.0, 2: -1.0}, 'Step Name': {0: 'R1C1', 1: 'R5C1', 2: 'R4C2'}}",0.0,0.001,46z59pQP58,Unit CTA1_01
1,1.0,1,"{'Difficulty': {0: 0.0, 1: 0.0}, 'Step Name': {0: 'R1C1', 1: 'R5C1'}}",1.39166666667,0.0,46z59pQP58,Unit CTA1_01
2,1.0,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R5C1'}}",0.306666666667,0.0,46z59pQP58,Unit CTA1_01
3,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'R4C2', 1: 'R1C1', 2: 'R5C1'}}",,0.003,46z59pQP58,Unit CTA1_01
0,1.0,0,"{'Difficulty': {0: 1.0, 1: 1.0, 2: -3.0, 3: 0.0, 4: 1.0}, 'Step Name': {0: 'R5C1', 1: 'R6C1', 2: 'R3C2', 3: 'R4C2', 4: 'R5C2'}}",0.0,0.003,X4ZaxfDz3Q,Unit CTA1_01
1,0.875,1,"{'Difficulty': {0: -1.0, 1: 0.0, 2: -1.0, 3: 2.0}, 'Step Name': {0: 'R5C1', 1: 'R6C1', 2: 'R4C2', 3: 'R5C2'}}",2.14023809524,0.001,X4ZaxfDz3Q,Unit CTA1_01
2,0.833333333333,2,"{'Difficulty': {0: -1.0, 1: 0.0, 2: 1.0}, 'Step Name': {0: 'R6C1', 1: 'R4C2', 2: 'R5C2'}}",1.74168253968,0.001,X4ZaxfDz3Q,Unit CTA1_01
3,1.0,3,"{'Difficulty': {0: -1.0, 1: 1.0}, 'Step Name': {0: 'R4C2', 1: 'R5C2'}}",0.4375,0.0,X4ZaxfDz3Q,Unit CTA1_01
4,1.0,4,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R5C2'}}",1.30282451499,0.0,X4ZaxfDz3Q,Unit CTA1_01
5,0.9,full,"{'Difficulty': {0: 0, 1: 1, 2: 2, 3: 3, 4: 4}, 'Step Name': {0: 'R3C2', 1: 'R5C1', 2: 'R6C1', 3: 'R4C2', 4: 'R5C2'}}",,0.011,X4ZaxfDz3Q,Unit CTA1_01
0,1.0,0,"{'Difficulty': {0: 0, 1: 0}, 'Step Name': {0: 'R2C1', 1: 'R1C2'}}",0.0,0.0,gPaagaJ8aq,Unit CTA1_01
1,1.0,1,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R1C2'}}",1.02777777778,0.0,gPaagaJ8aq,Unit CTA1_01
2,1.0,full,"{'Difficulty': {0: 0, 1: 1}, 'Step Name': {0: 'R2C1', 1: 'R1C2'}}",,0.001,gPaagaJ8aq,Unit CTA1_01
0,1.0,0,"{'Difficulty': {0: 2.0, 1: -2.0, 2: 0.0}, 'Step Name': {0: 'R4C1', 1: 'R5C1', 2: 'R6C1'}}",0.0,0.001,OS2vxzjz6W,Unit CTA1_01
1,1.0,1,"{'Difficulty': {0: 1.0, 1: -1.0}, 'Step Name': {0: 'R4C1', 1: 'R6C1'}}",0.0,0.0,OS2vxzjz6W,Unit CTA1_01
2,1.0,2,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R4C1'}}",2.57214285714,0.0,OS2vxzjz6W,Unit CTA1_01
3,1.0,full,"{'Difficulty': {0: 0, 1: 1, 2: 2}, 'Step Name': {0: 'R5C1', 1: 'R6C1', 2: 'R4C1'}}",,0.007,OS2vxzjz6W,Unit CTA1_01
0,0.952380952381,0,"{'Difficulty': {0: 0.0, 1: 2.0, 2: 2.0, 3: -1.0, 4: -6.0, 5: -3.0, 6: 6.0}, 'Step Name': {0: 'R5C1', 1: 'R4C1', 2: 'R2C1', 3: 'R4C2', 4: 'R3C2', 5: 'R1C2', 6: 'R3C1'}}",0.0,0.011,tyU2s0MBzm,Unit CTA1_01
1,0.916666666667,1,"{'Difficulty': {0: -1.0, 1: 1.0, 2: 1.0, 3: -2.0, 4: -4.0, 5: 5.0}, 'Step Name': {0: 'R5C1', 1: 'R4C1', 2: 'R2C1', 3: 'R4C2', 4: 'R1C2', 5: 'R3C1'}}",5.55079365079,0.007,tyU2s0MBzm,Unit CTA1_01
2,0.9,2,"{'Difficulty': {0: -2.0, 1: 0.0, 2: 0.0, 3: -2.0, 4: 4.0}, 'Step Name': {0: 'R5C1', 1: 'R4C1', 2: 'R2C1', 3: 'R4C2', 4: 'R3C1'}}",0.74,0.004,tyU2s0MBzm,Unit CTA1_01
3,0.833333333333,3,"{'Difficulty': {0: -1.0, 1: -1.0, 2: -1.0, 3: 3.0}, 'Step Name': {0: 'R4C1', 1: 'R2C1', 2: 'R4C2', 3: 'R3C1'}}",0.496698160746,0.003,tyU2s0MBzm,Unit CTA1_01
4,0.833333333333,4,"{'Difficulty': {0: -2.0, 1: 0.0, 2: 2.0}, 'Step Name': {0: 'R2C1', 1: 'R4C2', 2: 'R3C1'}}",0.862370496347,0.001,tyU2s0MBzm,Unit CTA1_01
5,1.0,5,"{'Difficulty': {0: -1.0, 1: 1.0}, 'Step Name': {0: 'R4C2', 1: 'R3C1'}}",0.345110235876,0.001,tyU2s0MBzm,Unit CTA1_01
6,1.0,6,"{'Difficulty': {0: 0}, 'Step Name': {0: 'R3C1'}}",0.358978351356,0.0,tyU2s0MBzm,Unit CTA1_01
